Year,Prosper Rating (Letter),Estimated Return
2013,C,0.08922
2012,C,0.1014
2013,D,0.1025
2011,D,0.122
2011,E,0.1371
2012,HR,0.1246
2011,HR,0.1148
2013,AA,0.05298
2010,B,0.0764
2013,D,0.1051
2013,B,0.07344
2013,A,0.0748
2013,C,0.1115
2010,HR,0.0526
2011,E,0.1487
2013,C,0.08473
2012,E,0.0682
2012,B,0.1389
2011,D,0.1414
2012,C,0.111
2013,A,0.0727
2010,A,0.0608
2013,C,0.08872
2012,B,0.1389
2013,E,0.1237
2013,A,0.0749
2012,A,0.1115
2010,D,0.207
2012,E,0.1567
2012,B,0.0541
2010,AA,0.0779
2011,A,0.0807
2010,E,0.1761
2013,HR,0.1131
2012,C,0.1103
2013,C,0.0955
2013,HR,0.1185
2013,C,0.0999
2010,A,0.0662
2012,D,0.115
2009,C,0.257
2013,C,0.0955
2011,E,0.1487
2012,A,0.0746
2013,B,0.08209
2013,AA,0.0552
2011,B,0.1074
2010,D,0.1594
2012,A,0.0597
2012,E,0.1352
2013,B,0.0876
2011,E,0.1487
2013,C,0.07824
2013,C,0.08227
2013,A,0.06081
2013,A,0.06081
2011,D,0.1317
2012,HR,0.1221
2011,B,0.0963
2013,A,0.07078
2011,D,0.1357
2012,D,0.1189
2013,C,0.0898
2011,B,0.1074
2013,C,0.1152
2013,C,0.08421
2013,B,0.0905
2013,A,0.0748
2012,B,0.0906
2013,C,0.0898
2012,C,0.1492
2013,C,0.08027
2013,AA,0.051
2011,HR,0.12
2012,E,0.1547
2013,C,0.0975
2013,B,0.074
2013,C,0.08922
2013,B,0.0876
2013,C,0.08922
2011,C,0.0936
2010,D,0.1574
2013,B,0.0495
2012,HR,0.1246
2011,E,0.1487
2013,E,0.1093
2010,D,0.1504
2010,HR,-0.0013
2013,A,0.06153
2013,B,0.0868
2013,A,0.0691
2013,B,0.07517
2012,HR,0.1246
2011,D,0.1414
2013,A,0.06462
2013,D,0.09512
2013,B,0.0858
2010,AA,0.1248
2013,D,0.1039
2013,A,0.0657
2013,A,0.0603
2013,A,0.0666
2012,D,0.1487
2010,C,0.1304
2010,D,0.1504
2013,D,0.08919
2011,D,0.1317
2010,HR,-0.0677
2013,B,0.08215
2012,B,0.0561
2013,E,0.1122
2011,E,0.1487
2012,C,0.1103
2013,C,0.08524
2013,C,0.08223
2010,HR,0.1399
2013,A,0.0657
2009,C,0.1357
2013,B,0.0878
2013,D,0.1039
2011,D,0.1363
2013,C,0.0898
2011,D,0.1232
2013,AA,0.04929
2013,E,0.10102
2013,B,0.0818
2011,D,0.1357
2013,B,0.0697
2013,D,0.1012
2011,B,0.142
2012,HR,0.1271
2013,D,0.08821
2011,B,0.1074
2009,HR,0.0556
2012,A,0.0836
2012,HR,0.1246
2011,E,0.1487
2012,C,0.1246
2013,E,0.1335
2013,A,0.0691
2012,HR,0.12
2013,E,0.10423
2013,C,0.08227
2013,C,0.08529
2012,C,0.0424
2012,E,0.1363
2013,D,0.1039
2011,A,0.0766
2012,A,0.1115
2013,C,0.1147
2013,C,0.08279
2013,B,0.074
2012,D,0.115
2012,A,0.1115
2011,E,0.1487
2011,D,0.1698
2012,E,0.115
2013,D,0.1199
2013,D,0.1079
2013,AA,0.0532
2012,E,0.1374
2010,AA,0.055
2013,C,0.08421
2012,A,0.0997
2013,E,0.10307
2011,A,0.0672
2013,C,0.08284
2013,A,0.06462
2010,B,0.0772
2013,D,0.1039
2013,C,0.0984
2013,A,0.0706
2010,D,0.156
2012,D,0.1494
2012,HR,0.1246
2012,E,0.1256
2013,A,0.06968
2013,C,0.0922
2013,A,0.05879
2011,HR,0.1148
2013,B,0.0858
2013,E,0.10941
2013,C,0.08027
2013,AA,0.0466
2013,C,0.07766
2012,B,0.1074
2013,C,0.08976
2013,C,0.1133
2012,D,0.1065
2013,A,0.06706
2013,D,0.123
2010,C,0.1196
2013,C,0.07819
2013,AA,0.0552
2013,A,0.0782
2013,A,0.0691
2012,B,0.0924
2012,E,0.1587
2012,C,0.1103
2012,HR,0.1246
2011,E,0.1561
2013,B,0.07517
2013,C,0.07824
2012,A,0.108
2013,C,0.0984
2012,D,0.1733
2013,AA,0.0498
2013,C,0.1105
2012,HR,0.1246
2013,HR,0.11116
2013,C,0.08172
2010,C,0.1443
2012,HR,0.1246
2013,B,0.0876
2012,D,0.1144
2013,B,0.0789
2011,D,0.1414
2012,B,0.0731
2013,A,0.06663
2013,B,0.0905
2012,A,0.06
2013,A,0.0631
2013,B,0.0905
2013,B,0.0878
2013,C,0.07766
2013,B,0.102
2010,AA,0.0554
2012,E,0.1567
2013,C,0.08284
2013,C,0.0999
2013,A,0.06499
2012,HR,0.1246
2010,B,0.0749
2012,C,0.111
2013,C,0.0898
2011,HR,0.1267
2013,B,0.08215
2010,HR,0.1399
2013,B,0.0838
2011,AA,0.0599
2013,A,0.06388
2009,C,0.1567
2012,A,0.0597
2012,C,0.0568
2009,E,0.1843
2012,AA,0.0565
2013,C,0.08022
2013,B,0.07408
2013,E,0.09737
2012,HR,0.1124
2013,A,0.0712
2013,B,0.0818
2013,C,0.08279
2013,AA,0.051
2012,A,0.0836
2010,C,0.1196
2013,D,0.09066
2013,D,0.1039
2012,A,0.0567
2013,C,0.0912
2009,AA,0.069
2013,A,0.0749
2012,E,0.1347
2012,A,0.06
2013,D,0.09066
2011,A,0.1005
2013,C,0.08524
2010,HR,-0.0006
2013,B,0.0836
2013,B,0.07689
2011,B,0.1074
2013,B,0.07077
2013,A,0.0706
2009,HR,0.1399
2011,C,0.1147
2013,A,0.06026
2013,AA,0.05516
2013,A,0.05879
2013,B,0.0789
2013,A,0.0782
2012,AA,0.055
2012,AA,0.0782
2010,D,0.1698
2013,C,0.1105
2011,A,0.077
2013,B,0.08154
2013,D,0.1199
2011,HR,0.0887
2012,D,0.1145
2012,D,0.1145
2013,C,0.08473
2013,B,0.0963
2013,A,0.07078
2013,HR,0.1185
2012,D,0.1511
2011,D,0.1414
2013,C,0.0955
2010,A,0.0608
2012,B,0.1385
2013,E,0.09737
2013,A,0.0749
2013,AA,0.0498
2011,B,0.09
2013,B,0.1001
2012,D,0.1104
2013,D,0.1039
2012,B,0.0761
2013,D,0.116
2012,D,0.115
2013,B,0.0818
2012,AA,0.0565
2013,C,0.08223
2013,D,0.1079
2012,HR,0.1246
2013,A,0.0749
2013,C,0.08223
2010,C,0.1196
2013,B,0.08209
2013,AA,0.05298
2011,E,0.1487
2013,C,0.08926
2013,A,0.0706
2010,B,0.1762
2010,A,0.0662
2013,D,0.09609
2010,AA,0.055
2012,A,0.06
2013,C,0.07824
2013,A,0.0691
2011,D,0.1414
2013,B,0.0858
2013,C,0.08926
2009,C,0.1049
2013,B,0.0778
2012,AA,0.0565
2012,HR,0.1271
2013,B,0.0888
2013,D,0.1065
2013,E,0.10256
2013,B,0.0963
2013,C,0.08284
2013,B,0.08004
2012,A,0.0836
2013,A,0.0631
2012,E,0.1223
2012,HR,0.1246
2011,E,0.1439
2013,B,0.0878
2012,B,0.09
2013,D,0.1173
2013,A,0.0691
2013,A,0.0666
2013,B,0.0868
2011,D,0.1243
2013,B,0.08321
2012,HR,0.1246
2011,E,0.1371
2013,B,0.116
2013,A,0.06499
2013,C,0.08976
2011,AA,0.0604
2013,D,0.1235
2013,HR,0.1131
2013,D,0.1065
2012,E,0.1257
2011,AA,0.0245
2013,A,0.06462
2012,B,0.0761
2012,A,0.0623
2012,HR,0.1271
2010,B,0.0772
2013,A,0.07487
2013,C,0.07819
2011,E,0.1487
2013,E,0.10307
2013,C,0.1124
2013,A,0.07284
2013,C,0.07766
2011,D,0.1357
2013,C,0.0975
2011,D,0.122
2012,B,0.1385
2013,C,0.08529
2012,A,0.0662
2013,E,0.1107
2009,A,0.0722
2012,HR,0.1246
2012,D,0.1144
2013,C,0.0898
2013,C,0.08922
2012,C,0.1014
2012,HR,0.1246
2012,HR,0.1246
2013,A,0.0749
2013,B,0.0697
2013,A,0.0666
2013,B,0.119
2013,B,0.07192
2013,D,0.116
2012,D,0.1458
2013,D,0.1079
2012,HR,0.1246
2012,E,0.0682
2013,HR,0.1185
2013,B,0.0818
2009,AA,0.0695
2013,D,0.0837
2012,C,0.1408
2013,B,0.102
2013,E,0.10307
2010,D,0.1504
2012,AA,0.0399
2013,E,0.1241
2013,B,0.07517
2010,B,0.0729
2010,E,0.1557
2012,B,0.1292
2013,B,0.0484
2012,HR,0.1124
2013,A,0.06462
2012,HR,0.1246
2013,HR,0.11348
2010,A,0.1059
2013,D,0.08919
2013,B,0.07408
2013,C,0.07713
2012,C,0.1103
2013,A,0.06663
2011,AA,0.04
2011,B,0.0878
2011,HR,0.1018
2012,D,0.1065
2013,D,0.1065
2009,AA,0.054
2012,C,0.1062
2012,C,0.1442
2013,C,0.07824
2012,D,0.1166
2013,E,0.1093
2013,D,0.09512
2009,A,0.0727
2012,D,0.1144
2012,D,0.1495
2013,D,0.0927
2013,C,0.08473
2010,D,0.1243
2013,B,0.0838
2012,C,0.1014
2013,C,0.08279
2011,D,0.1534
2013,C,0.0955
2012,HR,0.1246
2011,HR,0.1246
2011,D,0.1414
2013,C,0.08627
2011,A,0.0403
2012,HR,0.1246
2013,A,0.0691
2012,HR,0.1246
2013,E,0.10423
2013,B,0.0838
2013,D,0.1199
2011,A,0.0766
2010,AA,0.055
2013,C,0.1133
2009,A,0.1043
2013,C,0.07766
2012,E,0.1352
2013,A,0.0691
2012,C,0.1029
2012,A,0.0178
2012,HR,0.1246
2013,A,0.06663
2011,B,0.1074
2012,E,0.1374
2010,B,0.0772
2013,C,0.0965
2012,C,0.1014
2013,B,0.074
2013,AA,0.04554
2012,HR,0.1271
2012,C,0.1422
2011,D,0.1414
2013,A,0.0727
2013,HR,0.11116
2013,B,0.07408
2013,B,0.1001
2013,AA,0.0498
2013,B,0.08321
2013,B,0.08209
2012,E,0.1352
2013,C,0.08227
2012,HR,0.1246
2010,B,0.0772
2013,B,0.07408
2013,D,0.08821
2013,C,0.0922
2013,B,0.08215
2013,E,0.10307
2013,C,0.1281
2011,D,0.1414
2011,B,0.1066
2011,D,0.1068
2011,A,0.1158
2011,HR,0.1267
2012,HR,0.1124
2013,E,0.09737
2012,HR,0.1246
2013,B,0.08209
2012,D,0.1039
2012,B,0.1389
2013,A,0.0782
2013,B,0.0836
2012,HR,0.1174
2012,B,0.1074
2012,B,0.1074
2013,B,0.1001
2010,HR,0.1088
2011,A,0.0965
2012,C,0.125
2013,B,0.08154
2013,A,0.0728
2013,C,0.0941
2013,AA,0.04806
2012,E,0.1354
2013,D,0.1039
2011,B,0.0976
2012,HR,0.1246
2013,C,0.0999
2010,B,0.0772
2013,E,0.1244
2013,C,0.08926
2010,C,0.2093
2013,E,0.10256
2012,C,0.1479
2010,B,0.0764
2013,B,0.0868
2013,E,0.10423
2013,B,0.0836
2009,E,0.1673
2012,A,0.0517
2012,B,0.1385
2013,D,0.099
2012,E,0.1276
2013,B,0.102
2012,B,0.0761
2012,C,0.1442
2013,C,0.08524
2012,A,0.0517
2013,B,0.0868
2012,B,0.128
2013,E,0.10423
2013,D,0.1039
2013,B,0.0789
2013,B,0.0838
2013,A,0.0727
2010,D,0.1463
2011,A,0.0627
2013,D,0.08578
2013,D,0.116
2012,B,0.1214
2011,AA,0.0604
2013,B,0.07077
2011,D,0.1698
2013,B,0.0789
2012,E,0.1263
2013,E,0.10941
2013,D,0.0837
2009,AA,0.0799
2012,B,0.1074
2013,E,0.1122
2012,E,0.1168
2012,AA,0.0565
2012,A,0.0623
2012,A,0.0567
2013,A,0.0691
2010,AA,0.057
2013,C,0.0984
2012,D,0.1511
2012,B,0.0924
2012,E,0.1239
2010,D,0.1463
2013,C,0.08227
2010,A,0.0608
2011,A,0.0807
2013,B,0.08154
2013,A,0.0691
2012,A,0.0718
2012,B,0.112
2013,D,0.09066
2013,B,0.0836
2013,A,0.0997
2013,C,0.08421
2011,D,0.1357
2013,C,0.08022
2013,E,0.1093
2011,D,0.1698
2013,HR,0.11348
2013,A,0.0691
2013,D,0.1039
2013,E,0.1327
2011,B,0.1074
2010,A,0.0608
2013,D,0.1039
2010,D,0.2211
2011,HR,0.12
2013,D,0.1012
2013,D,0.08474
2011,D,0.1755
2013,C,0.08529
2013,A,0.05879
2013,B,0.08215
2013,B,0.074
2013,C,0.1091
2011,D,0.1534
2013,B,0.102
2010,HR,0.0924
2011,B,0.1074
2012,AA,0.0569
2012,HR,0.1246
2013,B,0.0861
2013,D,0.09066
2010,A,0.0608
2012,B,0.128
2013,C,0.08728
2013,E,0.1107
2013,C,0.1115
2013,C,0.1044
2013,B,0.08209
2011,D,0.1243
2011,B,0.0682
2010,HR,-0.0354
2013,C,0.0912
2012,C,0.0568
2011,B,0.104
2012,HR,0.1246
2012,HR,0.1271
2012,HR,0.1174
2011,E,0.1347
2013,A,0.05879
2013,A,0.06706
2011,E,0.1487
2012,C,0.142
2013,E,0.10941
2013,A,0.0624
2013,E,0.1241
2012,B,0.1074
2012,C,0.1014
2012,D,0.1166
2013,C,0.07819
2012,HR,0.1271
2010,HR,-0.0251
2012,C,0.1492
2013,C,0.08421
2013,A,0.06706
2012,B,0.0926
2009,E,0.1652
2012,A,0.1115
2011,D,0.1414
2011,E,0.1439
2013,B,0.0838
2011,D,0.1232
2012,B,0.0761
2012,A,0.101
2013,A,0.07078
2012,HR,0.1246
2013,B,0.08215
2013,C,0.0955
2013,B,0.07408
2012,HR,0.1221
2011,AA,0.04
2013,C,0.08728
2013,D,0.1065
2013,B,0.0778
2013,B,0.1001
2013,AA,0.04929
2013,D,0.09609
2010,A,0.0623
2012,B,0.0761
2012,C,0.1442
2013,AA,0.05516
2013,A,0.06388
2013,E,0.1122
2013,A,0.06706
2010,AA,0.057
2013,C,0.0898
2012,D,0.1318
2013,B,0.119
2011,D,0.1317
2012,B,0.1385
2013,E,0.1248
2010,AA,0.068
2013,A,0.0749
2013,B,0.08209
2010,HR,0.1369
2010,HR,0.1399
2012,HR,0.1246
2012,E,0.1276
2013,A,0.06
2013,B,0.0905
2013,D,0.0837
2013,D,0.1039
2012,B,0.0888
2012,B,0.112
2012,A,0.06
2011,E,0.1561
2011,B,0.1009
2012,D,0.1123
2011,D,0.1357
2011,E,0.1439
2010,HR,0.1299
2013,A,0.06462
2011,D,0.1232
2013,C,0.1004
2013,A,0.06663
2013,E,0.1122
2013,A,0.0603
2012,B,0.0843
2013,C,0.1115
2013,A,0.06706
2013,C,0.0898
2013,A,0.06706
2013,AA,0.0532
2013,E,0.125
2013,C,0.1133
2013,B,0.07408
2013,C,0.1053
2013,E,0.10256
2013,D,0.1051
2013,A,0.0712
2013,D,0.1039
2013,C,0.08926
2013,C,0.0955
2012,E,0.1587
2013,A,0.0749
2012,B,0.0803
2010,B,0.0862
2012,HR,0.1271
2011,HR,0.1267
2013,D,0.08919
2012,A,0.0911
2013,C,0.0999
2013,B,0.0818
2013,D,0.1051
2013,A,0.06026
2012,HR,0.1246
2013,B,0.0963
2010,HR,0.0612
2013,C,0.08926
2012,HR,0.1221
2013,A,0.06153
2012,C,0.111
2012,C,0.1246
2012,C,0.1422
2013,B,0.0876
2013,B,0.0878
2011,E,0.1439
2013,B,0.0905
2013,HR,0.1185
2011,A,0.0567
2011,D,0.1243
2012,C,0.1442
2009,AA,0.06
2013,C,0.08724
2012,C,0.1246
2011,B,0.142
2010,C,0.1196
2013,HR,0.10431
2013,A,0.0749
2013,E,0.1242
2012,HR,0.1221
2011,C,0.144
2012,A,0.0631
2009,E,0.1773
2010,B,0.0796
2013,B,0.0818
2013,C,0.08524
2013,B,0.11
2013,HR,0.1185
2012,A,0.1115
2011,A,0.0671
2013,C,0.08227
2013,B,0.07689
2013,A,0.0645
2013,B,0.0876
2013,B,0.07463
2012,HR,0.1246
2012,C,0.142
2013,C,0.08926
2012,E,0.1263
2012,AA,0.045
2012,C,0.0922
2013,A,0.06388
2013,D,0.09512
2013,B,0.0905
2010,A,0.0509
2013,AA,0.046
2012,C,0.1003
2011,B,0.142
2012,B,0.115
2011,D,0.1733
2012,A,0.0821
2012,A,0.1115
2013,D,0.1079
2013,D,0.09066
2009,D,0.1472
2013,C,0.0999
2012,D,0.1166
2013,HR,0.1131
2012,HR,0.1124
2011,E,0.1347
2013,D,0.1039
2013,E,0.10256
2011,D,0.1243
2013,C,0.08473
2013,C,0.08922
2012,E,0.1257
2013,D,0.1186
2010,HR,0.1369
2013,D,0.1199
2013,C,0.08724
2013,B,0.0789
2011,AA,0.04
2010,AA,0.0555
2013,A,0.0728
2011,B,0.0878
2013,B,0.0803
2011,A,0.0807
2010,E,0.1761
2013,D,0.09512
2012,D,0.1487
2012,D,0.115
2012,B,0.0868
2012,HR,0.1174
2013,E,0.10544
2013,E,0.1093
2013,A,0.0657
2013,B,0.0963
2011,HR,0.1246
2013,B,0.0878
2011,E,0.1487
2013,B,0.0888
2013,C,0.08724
2013,B,0.0905
2011,D,0.128
2013,C,0.1133
2011,B,0.1074
2012,B,0.0806
2012,C,0.0563
2012,HR,0.1246
2011,C,0.1085
2013,B,0.0963
2012,AA,0.0779
2012,C,0.1246
2013,C,0.08421
2012,HR,0.1246
2011,D,0.1357
2012,HR,0.1246
2013,B,0.07344
2011,D,0.128
2012,AA,0.0549
2013,C,0.0999
2013,E,0.10544
2013,A,0.07078
2011,B,0.1074
2012,HR,0.1246
2012,HR,0.1246
2011,D,0.1357
2013,A,0.0727
2013,AA,0.04806
2013,C,0.07713
2011,A,0.077
2011,D,0.128
2010,HR,0.1399
2012,D,0.1494
2013,B,0.0778
2013,AA,0.05516
2012,C,0.111
2012,A,0.0662
2012,B,0.116
2012,C,0.111
2012,HR,0.1174
2012,C,0.111
2013,C,0.08922
2010,A,0.0708
2013,C,0.1003
2013,B,0.102
2011,D,0.1317
2010,HR,0.1369
2010,E,0.1761
2013,E,0.1237
2013,E,0.10307
2013,C,0.08529
2013,D,0.1065
2012,HR,0.1271
2012,E,0.1335
2012,A,0.101
2013,C,0.095
2013,D,0.09167
2011,AA,0.0245
2013,E,0.1122
2013,E,0.1093
2011,E,0.1561
2012,E,0.1352
2012,C,0.0987
2012,D,0.1104
2010,A,0.0642
2012,B,0.115
2012,HR,0.1124
2010,D,0.1463
2012,C,0.0987
2012,C,0.0922
2013,E,0.1122
2013,C,0.08872
2012,C,0.142
2013,C,0.08172
2011,E,0.1487
2012,C,0.1442
2012,A,0.06
2013,B,0.0838
2013,B,0.0876
2009,HR,0.1399
2013,D,0.1051
2013,E,0.1093
2013,C,0.0941
2013,C,0.0912
2012,A,0.0836
2011,D,0.1243
2013,AA,0.04554
2013,C,0.0984
2013,E,0.10423
2013,E,0.1137
2013,B,0.08215
2013,D,0.09609
2012,C,0.1422
2012,B,0.0914
2013,HR,0.11348
2013,HR,0.1185
2012,A,0.0961
2011,D,0.1698
2013,B,0.0888
2013,B,0.0963
2013,A,0.06462
2012,A,0.0662
2011,B,0.0584
2013,AA,0.0517
2012,HR,0.1246
2013,A,0.0727
2013,C,0.08524
2013,C,0.08724
2011,A,0.0807
2011,E,0.1439
2013,B,0.08209
2012,D,0.1039
2012,C,0.0922
2013,C,0.08027
2013,C,0.1281
2013,C,0.08027
2010,AA,0.0266
2013,B,0.0905
2012,D,0.1104
2010,C,0.1196
2010,AA,0.0445
2012,A,0.0597
2012,A,0.1032
2013,C,0.07766
2013,B,0.08321
2011,C,0.1147
2010,B,0.0724
2011,E,0.1487
2012,D,0.0626
2010,A,0.0627
2013,A,0.06388
2010,AA,0.055
2013,D,0.1173
2013,C,0.0955
2011,D,0.1363
2011,HR,0.1267
2013,A,0.06388
2012,D,0.1521
2010,C,0.1196
2012,D,0.1458
2011,HR,0.1267
2012,D,0.1145
2013,C,0.08473
2013,AA,0.05516
2013,A,0.06081
2013,C,0.0941
2013,E,0.1122
2013,A,0.07078
2010,AA,0.0473
2013,C,0.08223
2013,A,0.06663
2011,HR,0.12
2012,A,0.0567
2013,D,0.1039
2012,A,0.101
2012,B,0.1389
2012,B,0.128
2013,C,0.08529
2013,C,0.08022
2013,B,0.0861
2013,E,0.1241
2012,HR,0.1246
2013,B,0.0803
2013,A,0.0624
2012,D,0.1506
2011,AA,0.0554
2010,E,0.1557
2013,A,0.06081
2012,C,0.1281
2013,B,0.074
2011,D,0.1327
2013,C,0.0955
2012,D,0.1495
2012,C,0.111
2012,HR,0.1271
2013,B,0.07077
2013,C,0.08728
2013,C,0.08172
2013,D,0.09167
2013,C,0.1091
2013,E,0.1107
2013,C,0.1281
2013,B,0.0905
2013,B,0.0697
2011,A,0.0965
2011,B,0.0942
2012,B,0.0935
2013,B,0.08321
2013,A,0.0748
2013,B,0.0868
2013,E,0.10544
2013,C,0.08027
2012,AA,0.076
2013,A,0.06663
2010,E,0.1761
2013,C,0.0984
2013,C,0.08223
2013,C,0.08872
2012,C,0.1442
2011,B,0.1173
2013,D,0.123
2013,B,0.07689
2013,E,0.1242
2012,C,0.1014
2009,AA,0.054
2010,HR,0.1399
2011,D,0.1414
2011,B,0.09
2013,A,0.0727
2012,A,0.101
2013,B,0.08215
2011,D,0.1414
2013,C,0.0984
2013,B,0.07517
2013,E,0.10423
2011,E,0.1487
2011,B,0.1009
2013,E,0.10941
2013,B,0.0963
2011,D,0.1363
2013,A,0.0712
2011,A,0.0438
2013,D,0.1173
2013,C,0.08976
2012,A,0.06
2013,A,0.07487
2011,D,0.1414
2013,B,0.08268
2013,A,0.0748
2013,D,0.08578
2011,E,0.1487
2013,B,0.07408
2013,B,0.0878
2013,A,0.06663
2013,C,0.1133
2012,C,0.1014
2013,A,0.0727
2011,A,0.0303
2012,D,0.115
2012,C,0.111
2013,D,0.099
2013,A,0.06968
2011,B,0.1009
2013,A,0.0404
2013,B,0.0876
2012,C,0.142
2013,AA,0.04554
2013,B,0.07463
2011,HR,0.0967
2013,B,0.07077
2013,A,0.0728
2010,D,0.1498
2011,A,0.0807
2013,A,0.06153
2012,AA,0.0884
2011,A,0.0671
2011,D,0.1414
2013,E,0.1107
2012,HR,0.1174
2011,D,0.1649
2013,B,0.08209
2011,HR,0.12
2011,E,0.1487
2013,C,0.08473
2011,A,0.0657
2013,A,0.0727
2013,C,0.08728
2013,B,0.0888
2011,C,0.1147
2013,D,0.1173
2011,A,0.0666
2013,D,0.1065
2012,HR,0.1174
2011,E,0.0982
2013,B,0.0861
2010,C,0.1056
2013,C,0.0898
2013,E,0.10544
2013,A,0.0749
2013,C,0.08728
2013,A,0.0749
2013,C,0.08022
2011,D,0.1243
2011,E,0.1487
2011,E,0.1487
2011,A,0.0905
2013,A,0.0782
2011,AA,0.04
2012,E,0.1257
2011,A,0.0965
2010,B,0.0796
2011,E,0.1347
2013,C,0.07766
2013,B,0.0818
2013,B,0.0876
2013,A,0.06499
2011,A,0.0423
2013,E,0.1241
2013,AA,0.0532
2010,A,0.0608
2011,HR,0.1267
2011,E,0.14
2012,B,0.1385
2012,E,0.1263
2011,C,0.0649
2011,A,0.116
2013,C,0.0898
2013,C,0.08976
2013,E,0.1107
2013,B,0.08004
2013,A,0.0748
2011,HR,0.12
2011,E,0.1487
2010,AA,0.068
2012,HR,0.1246
2012,C,0.0987
2013,A,0.0657
2013,C,0.08529
2011,D,0.1317
